SERIE_NAME,END_DATE,START_DATE,SERIE_CODE,DATAGROUP_CODE,FREQUENCY_STR
Altın(Milyon ABD Doları),1/11/2019,12/25/1987,TP.AB.C1,bie_abres2,HAFTALIK(CUMA)
Merkez Bankası Brüt Döviz Rezervleri(Milyon ABD Doları),1/11/2019,12/25/1987,TP.AB.C2,bie_abres2,HAFTALIK(CUMA)
Altın (Milyon ABD Doları),11/1/2018,1/1/1981,TP.AB.B1,bie_abreserv,AYLIK
Döviz Varlıkları (Milyon ABD Doları),11/1/2018,1/1/1981,TP.AB.B2,bie_abreserv,AYLIK
Bankalar Muhabir Mevcudu ve Efektif Kasası (Milyon ABD Doları),11/1/2018,1/1/1981,TP.AB.B3,bie_abreserv,AYLIK
Resmi Rezerv Varlıklar (Milyon ABD Doları),11/1/2018,1/1/1981,TP.AB.B4,bie_abreserv,AYLIK
Muhabir Açıkları(Milyon ABD Doları),7/1/2018,1/1/1981,TP.AB.B5,bie_abreserv,AYLIK
Toplam Rezerv (Milyon ABD Doları),11/1/2018,1/1/1981,TP.AB.B6,bie_abreserv,AYLIK
1-PARA TABANI (a+b+c)(Bin TL),1/11/2019,1/4/2002,TP.AB.N01,bie_abstc2,HAFTALIK(CUMA)
1a-Emisyon(Bin TL),1/11/2019,1/4/2002,TP.AB.N02,bie_abstc2,HAFTALIK(CUMA)
1b-TL Zorunlu Karşılıklar(Bin TL),1/11/2019,1/4/2002,TP.AB.N03,bie_abstc2,HAFTALIK(CUMA)
1c-Serbest Tevdiat(Bin TL),1/11/2019,1/4/2002,TP.AB.N04,bie_abstc2,HAFTALIK(CUMA)
2-NET DIŞ VARLIKLAR (A+B+C)(Bin TL),1/11/2019,1/4/2002,TP.AB.N05,bie_abstc2,HAFTALIK(CUMA)
2A-Net Uluslararası Rezervler (1+2+3)(Bin TL),1/11/2019,1/4/2002,TP.AB.N06,bie_abstc2,HAFTALIK(CUMA)
2A1-Brüt Döviz Rezervleri(Bin TL),1/11/2019,1/4/2002,TP.AB.N07,bie_abstc2,HAFTALIK(CUMA)
2A2-Brüt Uluslararası Yükümlülükler(Bin TL),1/11/2019,1/4/2002,TP.AB.N08,bie_abstc2,HAFTALIK(CUMA)
2A2a-Bankaların Döviz Mevduatı(Bin TL),1/11/2019,1/4/2002,TP.AB.N09,bie_abstc2,HAFTALIK(CUMA)
2A2b-IMF(Bin TL),1/11/2019,1/4/2002,TP.AB.N10,bie_abstc2,HAFTALIK(CUMA)
